Dosya,MSE_Noisy,MSE_Filtered,SNR_Noisy_dB,SNR_Filtered_dB,SNR_Improvement_dB
348.wav,0.0020066379,0.010321347803511486,11.530678,4.418004305288157,-7.112673490121999
349.wav,0.2001719,0.04182836449814439,-7.4668436,-0.6675217282204235,6.799321876821081
35.wav,0.2598189,0.03747330048955678,-10.401819,-1.9923306972072803,8.409488531918697
353.wav,0.19411264,0.04257662721249001,-7.176059,-0.5872330872063809,6.588825682019693
354.wav,0.19254917,0.03781674298861998,-8.0211315,-0.9525564755531775,7.068575039949752
358.wav,0.27942657,0.03607361080243249,-11.33719,-2.4464091066251386,8.890780567752303
359.wav,0.050590456,0.012112207442309647,-4.207633,2.0008199373798976,6.20845295587355
36.wav,0.18774682,0.03443358151703945,-6.679228,0.6866760916180715,7.365903920597564
362.wav,0.009779774,0.009497211818817937,2.5546563,2.6819829058781135,0.1273266387119758
363.wav,0.061864685,0.039913143241522085,-4.374723,-2.4714541247864967,1.9032688328245873
365.wav,0.041711662,0.014055354003420992,-2.6128998,2.111257148779572,4.724156929053009
366.wav,0.016780064,0.015367730638799253,-1.2020462,-0.820207601954531,0.3818385539750344
368.wav,0.11475627,0.009080755377159256,-8.528718,2.4878264139958017,11.016544408685743
369.wav,0.26918694,0.030844523922606178,-12.293291,-2.8845321517943305,9.408758940124615
37.wav,0.18618505,0.024104603638641385,-9.972851,-1.094403186560102,8.878447613000445
370.wav,0.2856821,0.02653411865934018,-14.560797,-4.240013736652571,10.320783001018327
374.wav,0.13299733,0.010119209269461511,-8.492018,2.694946372805262,11.186964118776942
375.wav,0.092515014,0.008666290229101125,-8.221302,2.062487721008196,10.2837897534789
377.wav,0.099492155,0.011696390000259746,-7.1871285,2.110241367066731,9.29736991092049
378.wav,0.27068254,0.03079638917471635,-12.3436365,-2.9040320646077076,9.43960444814864
38.wav,0.12568712,0.015616946764712682,-9.515222,-0.45827511095118734,9.056946484812972
382.wav,0.12396904,0.009591921162465858,-8.236881,2.877194945978755,11.11407620208227
